id,annee,organisme,ville_source,commune,niveau,methode,score,nom_trouve,siren,siret,adresse,lon,lat,code_insee,statut,commentaire
2014-1ce00639-2,2014,Apple,Paris,Paris,moyen,siege,0.90,APPLE RETAIL FRANCE EURL,483209383,48320938300288,3-5 3 RUE SAINT-GEORGES 75009 PARIS,2.337081,48.874540,75056,valide,
2014-1e41f3a2-1,2014,Service Medical Patronal,Paris,Paris,moyen,siege,0.90,SERVICE MEDICAL PATRONAL - S.M.P,512498288,51249828800020,43 RUE D'AMSTERDAM 75008 PARIS,2.326763,48.879341,75056,a_verifier,
2014-6b9afe86-1,2014,Medica Control,Avrillé,Avrillé,moyen,etablissement,0.90,ACEROLA (MEDICA-CONTROL-AXMEDICA),909938839,90993883900026,12 F AVENUE PIERRE MENDES-FRANCE 49240 AVRILLE,-0.583244,47.500105,49015,a_verifier,
2014-8d4a8f1f-1,2014,Prefecture de Saint-Etienne,Saint-Etienne,Saint-Étienne,moyen,etablissement,0.94,ELIOR RESTAURATION FRANCE (ELIOR RESTAURATION ENSEIGNEMENT - ELIOR RESTAURATION SANTE),662025196,66202519610144,33 RUE DES DOCTEURS CHARCOT 42100 SAINT-ETIENNE,4.393031,45.419925,42218,a_verifier,
2014-a9c60fdc-2,2014,People and Tech,Clamart,Clamart,moyen,etablissement,1.00,PEOPLE AND TECH,499704278,49970427800039,17 RUE DU GENERAL EISENHOWER 92140 CLAMART,2.228210,48.776648,92023,a_verifier,
2014-b4725eac-1,2014,Orange,Paris,Paris,moyen,siege,1.00,ORANGE,384044640,38404464000058,40 RUE NOTRE-DAME DE NAZARETH 75003 PARIS,2.358409,48.867495,75056,a_verifier,3 entités homonymes avec siège dans la commune
2014-c34f3312-1,2014,Pôle-Emploi,Besancon,Besançon,moyen,etablissement,1.00,FRANCE TRAVAIL,130005481,13000548106207,8 CHEMIN DE PALENTE 25000 BESANCON,6.050715,47.265667,25056,a_verifier,
2014-d81a4806-2,2014,La Mutuelle des Etudiants,Ivry-sur-Seine,Ivry-sur-Seine,moyen,etablissement,1.00,LA MUTUELLE DES ETUDIANTS (LMDE),431791672,43179167200717,LMDE 37 RUE MARCEAU 94200 IVRY-SUR-SEINE,2.378854,48.819757,94041,a_verifier,
2015-061867b3-1,2015,F2F,Paris,Paris,moyen,siege,1.00,F2F,828154716,82815471600017,5 RUE DU HELDER 75009 PARIS 9,2.334787,48.871622,75056,a_verifier,3 entités homonymes avec siège dans la commune
2015-2360dbe9-1,2015,QWANT,Nice,Nice,moyen,etablissement,1.00,QWANT,532867256,53286725600135,81 RUE DE FRANCE 06000 NICE,7.257160,43.695318,6088,a_verifier,
2015-5fab546e-1,2015,PHOENIX CORP,Paris,Paris,moyen,siege,1.00,PHOENIX CORP (PHX),492238050,49223805000016,34 BOULEVARD DES ITALIENS 75009 PARIS,2.335102,48.871304,75056,a_verifier,3 entités homonymes avec siège dans la commune
2015-a46d7e76-1,2015,ASSOCIATION DE FORMATION ET D'ACTION SOCIALE DES ECURIES DE COURSES,Maison Laffitte,Maisons-Laffitte,moyen,etablissement,0.92,ASSOCIATION DE FORMATION ET D'ACTION SOCIALE DES ECURIES DE COURSES A.F.A.S.E.C. ( A.F.A.S.E.C.),318043411,31804341100053,2 AVENUE HOCHE 78600 MAISONS-LAFFITTE,2.149339,48.962350,78358,a_verifier,
2016-08155241-1,2016,BECQUET,PARIS,Paris,moyen,siege,0.90,BECQUET CONSEIL,908392327,90839232700015,40 RUE ALEXANDRE DUMAS 75011 PARIS,2.393233,48.853611,75056,a_verifier,
2016-1b3a3fa1-1,2016,BG NOVATION - LASER GAME,PARIS,Paris,moyen,siege,0.84,BG NOVATION (LASER PARIS),512353129,51235312900012,9 AU 11 9 RUE ROBERT DE FLERS 75015 PARIS,2.284808,48.849845,75056,a_verifier,
2016-3474aa65-1,2016,CDISCOUNT,PARIS,Paris,moyen,etablissement,1.00,CDISCOUNT (CDISCOUNT- CDISCOUNT.COM- CDISCOUNT PRO - 3W REGIE - C LE MARCHE - C LES DEALS - OCEANIC - CONTINEN),424059822,42405982200165,45 RUE DE BABYLONE 75007 PARIS,2.318539,48.851660,75056,a_verifier,
2016-5b1a73d4-1,2016,FLEURANCE NATURE,PARIS,Paris,moyen,etablissement,1.00,FLEURANCE NATURE,502600711,50260071100050,62 RUE DU COMMERCE 75015 PARIS,2.294725,48.845801,75056,a_verifier,
2016-832fff68-1,2016,AMPLEMENT,PARIS,Paris,moyen,etablissement,1.00,CIRPACK SERVICES (CIRPACK CLOUD),520330200,52033020000046,26 RUE D'ORADOUR-SUR-GLANE 75015 PARIS,2.282703,48.831094,75056,a_verifier,
2016-bdb1f8f4-1,2016,NETPARTAGE (OUAH),PARIS,Paris,moyen,etablissement,1.00,NETPARTAGE (OUAH),431642651,43164265100019,11 RUE DE CHATEAUDUN 75009 PARIS,2.340756,48.875740,75056,a_verifier,
2017-6f9b3784-1,2017,STEPHENSON ETUDES,PARIS,Paris,moyen,etablissement,1.00,STEPHENSON ETUDES,405350166,40535016600014,36 RUE STEPHENSON 75018 PARIS,2.356430,48.887367,75056,a_verifier,
2017-7385da04-1,2017,OKAIDI,PARIS,Paris,moyen,siege,1.00,NPK COMPAGNIE,423897180,42389718000059,23 RUE D'ANJOU 75008 PARIS,2.321430,48.870958,75056,a_verifier,2 entités homonymes avec siège dans la commune
2018-2e444daf-1,2018,DISTRICOM SALES AND MARKETING,PARIS,Paris,moyen,etablissement,1.00,DISTRICOM SALES AND MARKETING (DISTRICOM SALES AND MARKETING),304970031,30497003100064,6 B ALLEE VERTE 75011 PARIS,2.370684,48.859358,75056,a_verifier,
2018-2e4a55c6-1,2018,SELECTOUR ENTREPRISE,PARIS,Paris,moyen,etablissement,1.00,SELECTOUR ENTREPRISE,392715801,39271580100057,6 RUE LAFERRIERE 75009 PARIS,2.338431,48.878444,75056,a_verifier,
2018-370291fb-1,2018,KISSKISSBANKBANK,PARIS,Paris,moyen,siege,0.91,KISSKISSBANKBANK & CO,512211004,51221100400043,75275 PARIS CEDEX 06 115 RUE DE SEVRES 75006 PARIS,2.319707,48.847909,75056,a_verifier,
2018-4a9dd98a-1,2018,SERGIC,PARIS,Paris,moyen,etablissement,1.00,SOCIETE D ETUDES ET DE REALISATION DE GESTION IMMOBILIERE DE CONSTRUCTION (SERGIC),428748909,42874890900614,45 RUE DE LOURMEL 75015 PARIS,2.289828,48.847574,75056,a_verifier,
2018-790e20eb-1,2018,MY MAJOR COMPANY,PARIS,Paris,moyen,siege,1.00,MY MAJOR COMPANY (BEAUCOUP MUSIC - DEUX MILLE CENT RECORDS - BULLEPROMO),498411446,49841144600046,71 RUE FONDARY 75015 PARIS,2.296975,48.846699,75056,a_verifier,2 entités homonymes avec siège dans la commune
2018-7ac8c8d6-1,2018,MUTUELLE DE L'ARMEE DE L'AIR,PARIS,Paris,moyen,etablissement,1.00,MUTUELLE DE L ARMEE DE L AIR (MAA),784338675,78433867500035,18 A 20 18 RUE DE LA CONVENTION 75015 PARIS 15,2.278822,48.845111,75056,a_verifier,
2018-7fd80a7c-1,2018,WINNER,PARIS,Paris,moyen,siege,1.00,WINNER,377807771,37780777100011,45 AVENUE JEAN MOULIN 75014 PARIS,2.320862,48.825117,75056,a_verifier,5 entités homonymes avec siège dans la commune
2018-85cb0d70-1,2018,LGHA AUTO,PARIS,Paris,moyen,etablissement,1.00,LGHA AUTO,810957563,81095756300069,3 RUE DE GRAMONT 75002 PARIS,2.336558,48.869283,75056,a_verifier,
2018-cb2fcdb8-1,2018,SAGES INFORMATIQUE,PARIS,Paris,moyen,etablissement,1.00,SAGES INFORMATIQUE (SAUVEGARDE-ADMINISTRATION ET GESTION ELECTRONIQUE DE SUPPORTS INFORMATIQUES) (ZEENDOC) (SAGES INFORMATIQUE),430044040,43004404000094,28 RUE DE BERRI 75008 PARIS,2.306321,48.873040,75056,a_verifier,
2018-ddb87861-1,2018,IBIS BUDGET,VILLEMOMBLE,Villemomble,moyen,etablissement,0.90,SOC COMMERCIALE HOTELS ECONOMIQUES (SCHE),378114110,37811411002253,8 A 12 ZA LA GARENNE 8 ALLEE DU PLATEAU 93250 VILLEMOMBLE,2.499504,48.879993,93077,a_verifier,
2018-e5ee7b49-1,2018,L-COMMERCE,PARIS,Paris,moyen,siege,0.89,COMMERCE,104776059,10477605900016,89 RUE DU FAUBOURG SAINT-ANTOINE 75011 PARIS,2.375140,48.851638,75056,a_verifier,
2018-fe8599d0-1,2018,SACEM,PARIS,Paris,moyen,etablissement,1.00,SOC AUTEUR COMPOSITEUR EDITEUR MUSIQUE (SACEM),775675739,77567573903925,30 RUE BALLU 75009 PARIS,2.329449,48.882204,75056,a_verifier,
