id,adresse,lon,lat,code_insee,precision,methode,source,statut,commentaire
2014-00211dd1-1,2ter Avenue Jean Villejean 45500 Gien,2.636167,47.690112,,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",a_verifier,point à 182 km de la commune indiquée par la CNIL (Vichy)
2014-009ca51d-1,34 Route de l'Hôpital 67100 Strasbourg,7.749070,48.572604,,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",a_verifier,point à 282 km de la commune indiquée par la CNIL (Reims)
2014-011fa497-1,"24 Rue du Commandant Guilbaud, 75016 Paris",2.251558,48.841860,75056,adresse,umap_adresse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0349069c-1,31 Rue des Bluets 75011 Paris,2.384178,48.865281,75056,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-03ed5abb-1,"Rte de Mezzavia, 20090 Ajaccio",8.770524,41.950232,2A004,adresse,umap_adresse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-042443d8-1,22 Rue de la Chaise 75007 Paris,2.326920,48.852800,75056,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-04fab846-1,11 Quai Maurice Berteaux 78230 Le Pecq,2.106801,48.897146,78481,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0527058f-1,"19 RTE DE PARIS, 80200 Peronne",2.933993,49.916638,80620,adresse,umap_adresse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0697a16d-1,16 Place de la République 13200 Arles,4.627428,43.676129,13004,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-06defced-1,5 Passage Briare 75009 Paris,2.343868,48.876831,75056,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-06fa8013-1,100 Rue de la République 92800 Puteaux,2.239640,48.884748,92062,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-072c9fc2-1,"331 Anc. Rte de Chartres, 45770 Saran",1.893079,47.934925,45302,adresse,umap_adresse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-07539d0b-1,,4.874322,43.979028,,adresse,umap_coordonnees,"carte uMap, export umap-export-2026-09-11.umap",a_verifier,point à 576 km de la commune indiquée par la CNIL (Paris)
2014-08fbe0c1-1,35 Rue Greneta 75002 Paris,2.350193,48.865146,75056,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0923568d-1,"3 All. Saint-Symphorien, 57000 Metz",6.161923,49.109663,57463,adresse,umap_adresse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-093fc2ec-1,"9 Terr. Front du M�doc, 33000 Bordeaux",-0.587502,44.838474,33063,adresse,umap_adresse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0af44a8d-1,"46 Rue du Simplon, 75018 Paris",2.348669,48.894291,75056,adresse,umap_adresse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0af4b000-1,268 Avenue du Président Wilson 93210 Saint-Denis,2.357856,48.918843,75056,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0c840f17-1,30 Rue François Ier 75008 Paris,2.305368,48.868064,75056,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0cb2e923-1,4 rue Gilbert Morel 63000 Clermont-Ferrand,3.085892,45.774500,63113,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0d06a750-1,60 Avenue Haussmann 89000 Auxerre,3.573040,47.812079,89024,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0d25770e-1,18 Rue Pierre Marcel 94250 Gentilly,2.337498,48.815333,94037,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0d83ee3d-1,"6 r Truillot, 94200�Ivry�sur Seine",2.390996,48.810628,94041,adresse,umap_adresse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0e133d3a-1,1 Avenue Eisenhower 03200 Vichy,3.418076,46.126310,,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",a_verifier,point à 232 km de la commune indiquée par la CNIL (Fleury-les-Aubrais)
2014-0e2b8ade-1,"6 Chem. de Penhelen, 29200 Brest",-4.454839,48.407783,29019,adresse,umap_adresse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0e6ab24d-1,6 Rue des Fossés 71150 Chagny,4.752232,46.911453,,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",a_verifier,point à 337 km de la commune indiquée par la CNIL (Terres-de-Haute-Charente)
2014-0ec989a8-1,5 Rue Saglio 67100 Strasbourg,7.743741,48.555042,67482,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0f4e005d-1,1 Rue de Gramont 75002 Paris,2.336657,48.869102,92012,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-0f639310-1,8 Rue Vivienne 75002 Paris,2.339250,48.867398,75056,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-10bfa7f7-1,6 Avenue de Toulouse 31130 Balma,1.493953,43.609561,31044,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-10bfa7f7-2,ET NUMERO 43 33 AVENUE GEORGES POMPIDOU 31130 BALMA,1.492874,43.629639,31044,adresse,siege_auto,annuaire-entreprises SIREN 560801300 (2026-09-11),valide,score 1.00 ; BANQUE POPULAIRE OCCITANE (BPOC)
2014-1138ae9c-1,"La Piverdi�re, 35000 Rennes",-1.719052,48.097912,35238,adresse,umap_adresse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-115c726d-1,1505 Rue du Parc d’Artillerie 34400 Lunel,4.146127,43.679744,34145,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-11b248d9-1,"61/63 Rue Pierre Charron, 75008 Paris",2.303891,48.869934,75056,adresse,umap_adresse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-121443ef-1,9 Rue Jean Nicot 75007 Paris,2.307617,48.860526,75056,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-12ccda51-1,4 Boulevard De Neuilly 92400 Courbevoie,2.252159,48.887966,92026,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-13534efd-1,5 Rue d'Arles 69007 Lyon,4.832187,45.714888,69123,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-13c83af2-1,11 Place de la Republique 08300 Rethel,4.365295,49.508616,08362,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
2014-15740141-1,1 Allée Eliane Fayeulle 95700 Roissy-en-France,2.516978,49.003630,95527,adresse,umap_coordonnees+adresse_inverse,"carte uMap, export umap-export-2026-09-11.umap",valide,
