id,pays,code_insee,commune,departement,region,org_lon,org_lat,org_precision,org_methode,org_adresse,org_source,ctrl_lieu,ctrl_lon,ctrl_lat,ctrl_precision,drapeaux
2014-74a7884d-1,FR,75056,Paris,75,11,2.3470,48.8589,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.3470,48.8589,commune,lieu_controle_inconnu
2014-12ccda51-1,FR,92026,Courbevoie,92,11,2.2574,48.8976,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2574,48.8976,commune,lieu_controle_inconnu
2014-952093fc-1,FR,94068,Saint-Maur-des-Fossés,94,11,2.4921,48.7999,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.4921,48.7999,commune,lieu_controle_inconnu
2014-0d25770e-1,FR,94037,Gentilly,94,11,2.3426,48.8120,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.3426,48.8120,commune,lieu_controle_inconnu
2014-34f9d436-1,FR,34172,Montpellier,34,76,3.8742,43.6100,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,3.8742,43.6100,commune,lieu_controle_inconnu
2014-a235e48b-1,FR,79191,Niort,79,75,-0.4613,46.3274,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-0.4613,46.3274,commune,lieu_controle_inconnu
2014-f02b2683-1,FR,25240,Les Fins,25,27,6.6280,47.0794,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,6.6280,47.0794,commune,lieu_controle_inconnu
2014-0697a16d-1,FR,13004,Arles,13,93,4.6513,43.5441,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,4.6513,43.5441,commune,lieu_controle_inconnu
2014-dcfb974e-1,FR,13004,Arles,13,93,4.6513,43.5441,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,4.6513,43.5441,commune,lieu_controle_inconnu
2014-1c16cc57-1,FR,62160,Boulogne-sur-Mer,62,32,1.6062,50.7303,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,1.6062,50.7303,commune,lieu_controle_inconnu
2014-c579687a-1,FR,62160,Boulogne-sur-Mer,62,32,1.6062,50.7303,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,1.6062,50.7303,commune,lieu_controle_inconnu
2014-a29112a9-1,FR,33449,Saint-Médard-en-Jalles,33,75,-0.7823,44.8861,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-0.7823,44.8861,commune,lieu_controle_inconnu
2014-0af4b000-1,FR,75056,Paris,75,11,2.3470,48.8589,commune,alias,,geo.api.gouv.fr 2026-09-11,organisme,2.3470,48.8589,commune,lieu_controle_inconnu
2014-e303d079-1,FR,59009,Villeneuve-d'Ascq,59,32,3.1619,50.6362,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,3.1619,50.6362,commune,lieu_controle_inconnu
2014-bdbad1d2-1,FR,92040,Issy-les-Moulineaux,92,11,2.2628,48.8240,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2628,48.8240,commune,lieu_controle_inconnu
2014-461d86ad-1,FR,13117,Vitrolles,13,93,5.2656,43.4509,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,5.2656,43.4509,commune,lieu_controle_inconnu
2014-adcc0055-1,FR,13001,Aix-en-Provence,13,93,5.3879,43.5360,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,5.3879,43.5360,commune,lieu_controle_inconnu
2014-b026572b-1,FR,92063,Rueil-Malmaison,92,11,2.1806,48.8717,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.1806,48.8717,commune,lieu_controle_inconnu
