organisme_norm,organisme_cle,commentaire
AGENCE NATIONALE DE TRAITEMENT AUTOMATISE DES INFRACTIONS ANTAI,AGENCE NATIONALE DE TRAITEMENT AUTOMATISE DES INFRACTIONS,sigle ajouté
AIRBNB FRANCE,AIRBNB,filiale
AMAZON FRANCE LOGISTIQUE,AMAZON,"filiale, même groupe"
AMAZON FRANCE LOGISTIQUE AMAZON FRANCE TRANSPORT AMAZON FRANCE SERVICES AMAZON CITY,AMAZON,plusieurs filiales d'un même groupe
AUCHAN FRANCE,AUCHAN,filiale
AUCHAN FRANCE VAL EUROPE,AUCHAN,magasin
AUTOROUTES DU SUD DE LA FRANCE ASF,AUTOROUTES DU SUD DE LA FRANCE,sigle ajouté
B FOR BANK,BFORBANK,graphie
BASIC FIT II,BASIC FIT,entité juridique
BASIC FIT II BASIC FIT FRANCE,BASIC FIT,entités juridiques
BOUYGUES TELECOM PREVENTEL,BOUYGUES TELECOM,service de l'opérateur
BOUYGUESTELECOM,BOUYGUES TELECOM,graphie (nom de domaine)
CAISSE NATIONALE DE L ASSURANCE MALADIE DES TRAVAILLEURS CNAMTS,CAISSE NATIONALE DE L ASSURANCE MALADIE,ancien nom (CNAMTS)
CAISSE NATIONALE DE L ASSURANCE MALADIE DES TRAVAILLEURS SALARIES CNAMTS,CAISSE NATIONALE DE L ASSURANCE MALADIE,ancien nom (CNAMTS)
CAISSE NATIONALE DE L ASSURANCE MALADIE DES TRAVAILLEURS SALARIES SNIIRAM,CAISSE NATIONALE DE L ASSURANCE MALADIE,"ancien nom, mention d'un traitement"
CAISSE NATIONALE DES ALLOCATIONS FAMILIALES,CAISSE NATIONALE D ALLOCATIONS FAMILIALES,graphie
CARREFOUR HYPERMARCHES,CARREFOUR,"enseigne, même groupe"
COMMUNE DE STRASBOURG ET EUROMETROPOLE DE STRASBOURG,COMMUNE DE STRASBOURG,double mention
DECATHLON FRANCE,DECATHLON,filiale
DIRECTION DEPARTEMENTALE DE SECURITE PUBLIQUE SERVICE DEPARTEMENTAL DU RENSEIGNEMENT TERRITORIAL,DIRECTION DEPARTEMENTALE DE SECURITE PUBLIQUE SERVICE DEPARTEMENTAL DE RENSEIGNEMENT TERRITORIAL,graphie
DONNEES MEDICALES ACCESSIBLES LIBREMENT SUR INTERNET AUDITION MEDECIN,DONNEES MEDICALES ACCESSIBLES LIBREMENT SUR INTERNET,mention de modalité
DONNEES MEDICALES ACCESSIBLES LIBREMENT SUR INTERNET FAI,DONNEES MEDICALES ACCESSIBLES LIBREMENT SUR INTERNET,mention
FACEBOOK FRANCE,FACEBOOK,"filiale, même groupe"
FACEBOOK IRELAND,FACEBOOK,"entité européenne, même groupe"
FACEBOOK META PLATFORMS IRELAND LIMITED,FACEBOOK,"entité européenne, même groupe"
FNAC DARTY FNAC DARTY PARTICIPATIONS ET SERVICES,FNAC DARTY,entités juridiques
FNAC DIRECT FNAC DARTY PARTICIPATIONS ET SERVICES,FNAC DARTY,entités juridiques
GOOGLE IRELAND LIMITED,GOOGLE,"entité européenne, même groupe"
GROUPE CANAL,GROUPE CANAL PLUS,nom tronqué
HSBC FRANCE,HSBC,filiale
LE HUFFINGTON POST,HUFFINGTON POST,article
LEROY MERLIN GSB,LEROY MERLIN,sigle ajouté
LES DERNIERS SERONT LES PREMIERS VALORY INVESTISSEMENTS,LES DERNIERS SERONT LES PREMIERS OU VALORY INVESTISSEMENTS,graphie
LINK MOBILITE,LINK MOBILITY,graphie
MAAF AGENCE,MAAF,agence
MINISTERE DE L EDUCATION NATIONALE DE LA JEUNESSE ET DES SPORTS,MINISTERE DE L EDUCATION NATIONALE,intitulé du ministère selon le gouvernement
MINISTERE DE L INTERIEUR DE L OUTRE MER ET DES COLLECTIVITES TERRITORIALES,MINISTERE DE L INTERIEUR,intitulé du ministère selon le gouvernement
MINISTERE DE L INTERIEUR ET DES OUTRE MERS,MINISTERE DE L INTERIEUR,intitulé du ministère selon le gouvernement
MINISTERE DE L INTERIEUR HTTP WWW INTERIEUR GOUV FR,MINISTERE DE L INTERIEUR,adresse du site ajoutée au nom
MINISTERE DE LA JUSTICE FIJAIS,MINISTERE DE LA JUSTICE FIJAISV,graphie du fichier
MINISTERE DE LA TRANSITION ECOLOGIQUE ET SOLIDAIRE,MINISTERE DE LA TRANSITION ECOLOGIQUE,intitulé du ministère selon le gouvernement
MINISTERE DES SOLIDARITES ET DE LA SANTE CNAM,MINISTERE DES SOLIDARITES ET DE LA SANTE,mention d'un opérateur
MY FRIEND CAYLA SOCIETE TOYQUEST LIMITED,MY FRIEND CAYLA,mention du fabricant
MYBESTPRO LE DOMAINE WENGO,MYBESTPRO,mention d'un domaine
PREFECTURE DE POLICE,PREFECTURE DE POLICE DE PARIS,même institution
SUPPLY CHAIN FRANCE,XPO SUPPLY CHAIN FRANCE,nom tronqué
TELEPERFORMANCE FRANCE,TELEPERFORMANCE,filiale
TIK TOK,TIKTOK,graphie
UNSA ORG,SE UNSA,nom de domaine
