Catégorie de contrôle;Organismes contrôlés;"Modalité
 de contrôle";Dépt.;Ville;Pays;"Activité
 de l'organisme";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;"CONTACT COVID 
CNAM";sur place;75;PARIS;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;TOUSANTICOVID;sur place;75;PARIS;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;ENTREPRENEUR INDIVIDUEL;sur place;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MKD GROUPE;sur pièces;33;BORDEAUX;FRANCE;Activités politiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MKD GROUPE;sur audition;75;PARIS;FRANCE;Activités politiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;GAMELOFT;en ligne;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;GAMELOFT;en ligne;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;GAMELOFT;en ligne;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;REWORLD MEDIA;en ligne;92;BOULOGNE-BILLANCOURT;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;TELEPERFORMANCE FRANCE;sur place;31;BLAGNAC;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;LVMH MOET HENNESSY LOUIS VUITTON;sur place;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MINISTERE DE LA JUSTICE;sur place;93;MONTREUIL;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;SOCIETE FRANCAISE DU RADIOTELEPHONE - SFR;sur place;75;PARIS;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;THALES;sur place;78;VELIZY-VILLACOUBLAY;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;ALPES DAUPHINE PROVENCE BUREAU ;sur place;26;ALLEX;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;LA POSTE;sur place;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;BOURSORAMA BANQUE;sur place;92;BOULOGNE-BILLANCOURT;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;BRED BANQUE POPULAIRE;sur place;75;PARIS;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;COMMUNE DE WISSOUS;sur place;91;WISSOUS;FRANCE;Collectivités territoriales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;GOOGLE IRELAND LIMITED;sur place;75;PARIS;FRANCE;Télécommunications;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;SYNCHROTEAM ;sur place;92;NEUILLY SUR SEINE;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MYSTAFF LLC;sur pièces;;LAS VEGAS;ÉTATS-UNIS;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DATADVANCE;sur place;31;TOULOUSE;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;INTERSPORT France;en ligne;91;LONGJUMEAU;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;INTERSPORT France;sur place;91;LONGJUMEAU;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;JCDA;en ligne;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;JCDA;sur place;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;FLO HEALTH UK LIMITED;en ligne;;LONDRES;ROYAUME-UNI;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;FLO HEALTH UK LIMITED;sur pièces;;LONDRES;ROYAUME-UNI;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;AUDION;sur place;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;GLOW INC. ;en ligne;;SAN FRANCISCO;ÉTATS-UNIS;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;GLOW INC. ;sur pièces;;SAN FRANCISCO;ÉTATS-UNIS;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;GLOW INC. ;en ligne;;SAN FRANCISCO;ÉTATS-UNIS;Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;AMERICAN EXPRESS CARTE FRANCE;en ligne;92;RUEIL-MALMAISON;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;AMERICAN EXPRESS CARTE FRANCE;sur place;92;RUEIL-MALMAISON;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;AMERICAN EXPRESS CARTE FRANCE;sur place;92;RUEIL-MALMAISON;FRANCE;Banque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;INSTITUT CATHOLIQUE DE PARIS;sur audition;75;PARIS;FRANCE;Education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;CHI LES HOPITAUX DU LEMAN;sur place;74;THONON-LES-BAINS;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DOCTISSIMO;en ligne;92;BOULOGNE-BILLANCOURT;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;DOCTISSIMO;sur place;92;BOULOGNE-BILLANCOURT;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;GLOBALIA;en ligne;75;PARIS;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;GLOBALIA;sur place;75;PARIS;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;QUIZ COACH;en ligne;94;FRESNES;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;QUIZ COACH;sur audition;94;FRESNES;FRANCE;Santé ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MEDIA DEVELOPPEURS;sur audition;75;PARIS;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;GLOPAL;sur audition;75;PARIS;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MONSTOCK;sur place;51;BEZANNES;FRANCE;Travail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MINISTERE DE L'INTERIEUR ET DES OUTRE-MERS;sur place;33;BORDEAUX;FRANCE;Régalien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;NOV'IN;sur place;42;SAINT ETIENNE;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;VERTBAUDET;en ligne;59;TOURCOING;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;VERTBAUDET;sur place;59;TOURCOING;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MVGROUP;sur place;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MVGROUP;sur place;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGPD;MVGROUP;sur place;75;PARIS;FRANCE;Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
